DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES,
30-Jan-19,EQ,351,368.6,351,346.85,368.4,365.9,361.89,383.55,256.5,39400056,"14,25,85,64,640.95",257997,
31-Jan-19,EQ,372.7,376.65,354.1,365.9,364.7,364.45,367.18,383.55,256.5,85917249,"31,54,73,66,628.05",483204,
01-Feb-19,EQ,364.5,364.9,348.75,364.45,353.35,354.65,357.38,383.55,256.5,25605469,"9,15,08,47,913.80",253706,
04-Feb-19,EQ,351,356.9,346,354.65,354.7,354.55,351.33,383.55,256.5,17039321,"5,98,64,94,240.55",97597,
05-Feb-19,EQ,354.6,356.1,348.85,354.55,353.5,352.65,352.04,383.55,256.5,12197271,"4,29,39,58,415.10",115648,
06-Feb-19,EQ,353.6,361.9,353.2,352.65,359.25,359.3,358.86,383.55,256.5,15396216,"5,52,51,13,789.40",131273,
07-Feb-19,EQ,359.1,361.8,356.5,359.3,358.45,358.65,359.43,383.55,256.5,10247434,"3,68,32,13,888.15",110616,
08-Feb-19,EQ,356.9,358.4,350.75,358.65,354.45,355.1,354.14,383.55,256.5,9308651,"3,29,65,90,691.40",97532,
11-Feb-19,EQ,354.6,354.7,349.05,355.1,351.5,350.05,351.61,383.55,256.5,9419635,"3,31,20,40,714.00",74604,
12-Feb-19,EQ,349,352,343.25,350.05,344,344.3,348.35,383.55,256.5,14924394,"5,19,89,50,700.00",109500,
13-Feb-19,EQ,345.05,347.75,339.05,344.3,339.5,339.75,343.01,383.55,256.5,11742509,"4,02,77,50,963.30",152703,
14-Feb-19,EQ,339.85,346.85,336.15,339.75,343.95,343.95,342.29,383.55,256.5,15172596,"5,19,35,03,695.80",157343,
15-Feb-19,EQ,344.05,347.75,340.6,343.95,342.6,342.15,343.61,383.55,256.5,20316848,"6,98,11,09,543.30",190243,
18-Feb-19,EQ,342.2,343,337.55,342.15,338.5,338.75,339.7,383.55,256.5,10601490,"3,60,13,45,683.95",165466,
19-Feb-19,EQ,339.1,350.4,339.1,338.75,342.7,343.25,345.9,383.55,256.5,14384763,"4,97,57,26,980.45",138835,
20-Feb-19,EQ,345,347.6,342.35,343.25,345.7,345.2,345.19,383.55,256.5,9474758,"3,27,05,64,641.90",85473,
21-Feb-19,EQ,346.8,354.95,346.25,345.2,351.5,351.3,352.18,383.55,256.5,18631331,"6,56,15,02,806.95",189357,
22-Feb-19,EQ,351.4,354.1,351.3,351.3,352,352.05,352.44,383.55,256.5,10997730,"3,87,60,01,804.85",109519,
25-Feb-19,EQ,353.05,357.45,353.05,352.05,355.7,355.6,355.64,383.55,256.5,10344411,"3,67,89,18,945.50",110291,
26-Feb-19,EQ,350,352.7,346.6,355.6,348.5,348.2,349.4,383.55,256.5,18096382,"6,32,27,92,025.05",126835,
27-Feb-19,EQ,351,354.7,343.3,348.2,345.3,345.55,347.94,383.55,256.5,17325417,"6,02,82,56,161.95",146248,
28-Feb-19,EQ,348.45,351.75,345,345.55,351.05,350.15,347.9,383.55,256.5,18347113,"6,38,30,05,151.50",138237,
01-Mar-19,EQ,352.05,355,350.65,350.15,354.1,354.25,352.79,383.55,256.5,14190221,"5,00,61,84,572.15",103390,
05-Mar-19,EQ,355,364.15,352.8,354.25,361.75,363.25,358.98,383.55,256.5,17638277,"6,33,18,19,070.40",183568,
06-Mar-19,EQ,365.25,372.85,365.25,363.25,371.25,371.95,370.13,383.55,256.5,31436190,"11,63,55,22,989.70",169716,
07-Mar-19,EQ,371.5,374,368.5,371.95,370.3,370.8,370.8,383.55,256.5,15355303,"5,69,37,84,331.00",123402,
08-Mar-19,EQ,369.8,373.4,367.65,370.8,370.7,370.6,370.45,383.55,256.5,16143455,"5,98,03,41,593.80",120256,
11-Mar-19,EQ,371.8,378.4,370,370.6,375.4,375.85,375.79,383.55,256.5,11449587,"4,30,26,00,072.90",142026,
12-Mar-19,EQ,378,389,377.35,375.85,388.7,388.2,386.34,389,256.5,37108265,"14,33,65,24,396.20",200154,
13-Mar-19,EQ,387.9,393.25,384.3,388.2,391.15,391.9,389.13,393.25,256.5,19574619,"7,61,71,26,028.30",150225,
14-Mar-19,EQ,392,393,386.8,391.9,388,387.9,389.17,393.25,256.5,13182462,"5,13,02,45,990.35",95874,
15-Mar-19,EQ,388.85,398.25,388.1,387.9,395.8,395.3,394.71,398.25,256.5,31466545,"12,42,00,43,710.95",175791,
18-Mar-19,EQ,396.25,399.9,393.5,395.3,399.65,398.05,396.52,399.9,256.5,21220626,"8,41,44,67,499.40",114855,
