date,price,signal,returns,strategy_returns,equity_curve
2025-01-16,1652.05,0,0.005477617844861671,-0.010279310451373314,1.245363712219672
2025-01-17,1636.75,1,-0.009261220907357481,-0.001,1.2441183485074523
2025-01-20,1651.25,1,0.008859019398197665,0.012576999150960444,1.2597656239203248
2025-01-21,1642.4,1,-0.005359576078728168,-0.0024401174741085496,1.2566916478081156
2025-01-22,1666.05,1,0.014399659035557733,0.01411549929253142,1.2744304778736812
2025-01-23,1664.9,0,-0.0006902553944958534,0.006947626053173895,1.2832847442647155
2025-01-24,1649.8,1,-0.009069613790618103,-0.001,1.2820014595204507
2025-01-27,1629.8,1,-0.01212268153715601,-0.012842467765440402,1.2655373971013117
2025-01-28,1670.4,1,0.02491103202846978,0.017428140341757548,1.287593360465736
2025-01-29,1677.3,1,0.004130747126436685,0.0071592284326365,1.2968115354616563
2025-01-30,1691.5,1,0.008465987002921338,0.01631547083005369,1.317969626240558
2025-01-31,1698.75,1,0.004286136565178733,0.029671221185850527,1.3570753945369745
2025-02-01,1690.95,1,-0.0045916114790286455,0.03720229124397789,1.4075617086045753
2025-02-03,1678.0,1,-0.007658416866258677,0.004632842349249433,1.4140827200973805
2025-02-04,1720.9,1,0.025566150178784275,0.026068245401597023,1.4509453754630368
2025-02-05,1737.8,1,0.009820442791562467,0.027422701190238152,1.4907342169377176
2025-02-06,1743.85,1,0.0034814132811600285,0.026617977906219448,1.5304145473882111
2025-02-07,1732.75,1,-0.006365226366946697,0.024844363018301396,1.5684367219720134
2025-02-10,1715.75,1,-0.009810994084547664,0.02269178580001241,1.604027352107876
2025-02-11,1701.4,0,-0.008363689348681258,-0.012238053727453124,1.5843971791924756
2025-02-12,1706.8,1,0.0031738568237920095,-0.001,1.5828127820132831
2025-02-13,1697.7,1,-0.0053316147176001305,-0.02669766769398374,1.5405553723373027
2025-02-14,1694.85,1,-0.0016787418271779764,-0.02201118315421502,1.5066459258775764
2025-02-17,1717.35,1,0.013275511107177618,0.0010753220375102623,1.5082660554443974
2025-02-18,1723.05,0,0.003319067167438128,0.011758078553629647,1.526000366204086
2025-02-19,1727.2,0,0.002408519775978668,0.0,1.526000366204086
2025-02-20,1687.1,1,-0.023216767021769447,-0.001,1.5244743658378819
2025-02-21,1692.5,1,0.0032007586983582303,-0.0010129102728168027,1.5229302100920787
2025-02-24,1677.1,1,-0.009098966026587996,-0.023387387406582416,1.4873128512754674
2025-02-25,1682.35,1,0.0031304036730068763,-0.023576050901013668,1.4522478877880651
2025-02-27,1700.7,1,0.010907361726157028,-0.015077208950835308,1.4303520429354752
2025-02-28,1732.4,1,0.018639383783148222,0.02677894185408236,1.4686553571241123
2025-03-03,1701.55,1,-0.017807665666128014,0.0057705174895961164,1.4771302585485862
2025-03-04,1710.0,1,0.004966060356733637,0.01983554387291775,1.506429940598041
2025-03-05,1690.0,1,-0.011695906432748537,0.0050092337671623355,1.513976000324349
2025-03-06,1691.2,1,0.0007100591715976101,-0.005188068787397082,1.506121388692198
