DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
08-Feb-19,EQ,760,772.25,754.9,764,760.9,760.9,763.4,"1,467.90",599.85,5915169,"4,51,56,25,944.30",92824
11-Feb-19,EQ,766.9,768.75,759,760.9,760.45,762.8,764.82,"1,467.90",599.85,5500216,"4,20,66,53,296.00",101154
12-Feb-19,EQ,760.35,760.35,741,762.8,750.4,750.45,748.38,"1,467.90",599.85,7310690,"5,47,11,89,240.60",148513
13-Feb-19,EQ,750.1,759.7,743.65,750.45,754,754.9,753.01,"1,467.90",599.85,5050182,"3,80,28,21,367.55",133702
14-Feb-19,EQ,751,753,737.25,754.9,740.35,740.05,745.6,"1,467.90",599.85,4610535,"3,43,76,11,369.95",113149
15-Feb-19,EQ,742.3,746.5,732.6,740.05,742.05,741.95,739.44,"1,467.90",599.85,5586389,"4,13,07,95,666.45",93850
18-Feb-19,EQ,742.35,747.65,736,741.95,741,741.05,739.9,"1,467.90",599.85,5346825,"3,95,61,12,147.95",105532
19-Feb-19,EQ,739.1,740.55,721.3,741.05,724,724.3,726.7,"1,467.90",599.85,9401334,"6,83,19,40,830.90",124664
20-Feb-19,EQ,727,743,726.05,724.3,740.55,740.7,734.78,"1,467.90",599.85,5210675,"3,82,86,86,486.05",130965
21-Feb-19,EQ,738,738,727.1,740.7,734,733.45,732.23,"1,467.90",599.85,7202786,"5,27,40,97,398.60",151794
22-Feb-19,EQ,732.5,738.2,728,733.45,734.9,734.95,733.71,"1,467.90",599.85,3750833,"2,75,20,41,713.00",99246
25-Feb-19,EQ,735.55,758,735.55,734.95,755,754.9,749.2,"1,467.90",599.85,6547552,"4,90,54,13,918.05",155205
26-Feb-19,EQ,748.6,752.6,740.15,754.9,741.55,742.5,745.77,"1,467.90",599.85,8319610,"6,20,45,21,714.05",188778
27-Feb-19,EQ,745,746.4,732.75,742.5,734.5,735.25,738.56,"1,467.90",599.85,5936354,"4,38,43,24,580.20",181469
28-Feb-19,EQ,738.7,742.4,732.3,735.25,734.7,734.3,735.59,"1,467.90",599.85,8559921,"6,29,66,19,713.60",142436
01-Mar-19,EQ,735.5,743.4,735.5,734.3,741.8,741.9,740,"1,467.90",599.85,3998826,"2,95,91,15,940.15",86883
05-Mar-19,EQ,740.5,742.5,730.25,741.9,732.75,732.5,734.79,"1,467.90",599.85,4826505,"3,54,64,64,354.00",187167
06-Mar-19,EQ,736.1,736.1,727,732.5,732.25,732.5,732.02,"1,467.90",599.85,6076668,"4,44,82,54,459.45",201307
07-Mar-19,EQ,734,734.5,720.55,732.5,723.3,722.95,724.84,"1,467.90",599.85,5951551,"4,31,39,06,549.50",132988
